transport,vehicle_type,vehicle_monthly_distance_km,frequency_of_traveling_by_air,region,heating_energy_source,how_long_tv_pc_daily_hour,how_long_internet_daily_hour,diet,monthly_grocery_bill,how_many_new_clothes_monthly,waste_bag_size,waste_bag_weekly_count,recycling,cooking_with,grid_factor,grocery_factor,household_size,country,carbon_emission_kgco2e_month
private,electric,386.7,never,mixed,natural gas,6.5,2.5,omnivore,205.1,2,large,1,['none'],"['stove', 'oven', 'microwave']",0.21741,0.44,1,uk,447.6
public,none,330.7,never,mixed,electricity,7.0,7.0,pescatarian,2020.1,1,extra large,2,['paper'],['oven'],0.67013,0.11,2,india,533.5
private,electric,213.8,rarely,mixed,electricity,0.0,6.0,omnivore,1600.4,2,small,2,"['paper', 'plastic']","['stove', 'oven']",0.67013,0.11,4,india,519.6
private,diesel,129.4,never,renewable_heavy,electricity,3.0,10.0,pescatarian,799.8,1,small,1,['none'],"['stove', 'microwave', 'airfryer']",0.085,0.36,1,us,481.2
public,none,657.4,never,mixed,electricity,3.5,9.0,omnivore,3070.1,3,medium,3,"['paper', 'plastic']","['stove', 'microwave', 'airfryer']",0.67013,0.11,1,india,871.2
private,petrol,410.2,never,mixed,natural gas,3.0,9.0,omnivore,1919.1,2,medium,5,['metal'],"['stove', 'oven', 'microwave']",0.67013,0.11,2,india,635.1
public,none,352.4,often,mixed,natural gas,0.0,0.5,vegan,970.8,5,large,2,['none'],"['stove', 'oven', 'airfryer']",0.67013,0.11,9,india,518.6
public,none,190.9,never,mixed,natural gas,6.5,7.0,omnivore,316.0,3,large,3,"['plastic', 'metal', 'glass']","['stove', 'microwave', 'airfryer']",0.21741,0.44,1,uk,624.6
private,none,111.6,rarely,mixed,natural gas,8.5,8.0,omnivore,1814.7,2,small,2,['none'],"['microwave', 'grill']",0.3844,0.36,1,us,971.1
public,none,31.8,often,renewable_heavy,electricity,3.5,5.0,vegan,416.4,6,medium,1,['metal'],"['stove', 'grill']",0.048,0.44,2,uk,587.8
private,petrol,290.5,often,mixed,electricity,9.5,3.5,vegan,811.4,1,medium,2,['none'],"['stove', 'oven']",0.21741,0.44,2,uk,746.6
walk/bicycle,none,134.3,often,mixed,natural gas,0.0,4.5,omnivore,552.7,2,medium,3,"['plastic', 'metal', 'glass']","['stove', 'microwave']",0.3844,0.36,8,us,682.1
walk/bicycle,none,221.2,rarely,mixed,natural gas,1.5,7.5,omnivore,1170.0,2,large,3,['none'],['stove'],0.3844,0.36,4,us,809.7
public,none,1669.8,never,mixed,natural gas,3.5,1.5,omnivore,1946.2,2,large,1,['glass'],"['stove', 'oven', 'microwave']",0.67013,0.11,3,india,549.9
walk/bicycle,none,558.7,rarely,renewable_heavy,natural gas,6.0,9.5,pescatarian,3934.5,1,medium,2,['plastic'],"['stove', 'oven', 'microwave', 'grill', 'airfryer']",0.147,0.11,3,india,655.8
public,none,271.2,rarely,renewable_heavy,natural gas,4.5,0.0,vegetarian,769.4,2,small,2,['metal'],"['stove', 'microwave']",0.085,0.36,1,us,547.7
private,diesel,165.5,rarely,mixed,natural gas,1.5,3.0,omnivore,472.7,1,medium,2,"['plastic', 'metal']",['none'],0.3844,0.36,2,us,527.6
private,petrol,366.0,rarely,renewable_heavy,natural gas,6.0,2.0,omnivore,473.8,0,extra large,3,['plastic'],"['stove', 'oven', 'grill']",0.085,0.36,1,us,770.0
private,hybrid,409.4,never,mixed,wood,5.5,5.0,pescatarian,164.5,1,medium,1,['none'],"['stove', 'microwave', 'grill']",0.21741,0.44,5,uk,285.8
private,electric,127.9,never,mixed,electricity,3.0,3.5,omnivore,366.0,2,large,4,['plastic'],"['stove', 'oven', 'microwave', 'grill']",0.3844,0.36,1,us,663.0
public,none,143.2,rarely,renewable_heavy,electricity,3.5,8.5,vegan,1776.6,1,medium,3,['none'],"['stove', 'oven', 'microwave', 'airfryer']",0.085,0.36,1,us,959.9
private,diesel,223.9,often,mixed,natural gas,1.5,4.5,pescatarian,1212.5,1,medium,5,"['paper', 'plastic', 'glass']",['oven'],0.3844,0.36,6,us,765.4
public,none,91.7,rarely,renewable_heavy,electricity,5.5,6.0,omnivore,1931.2,2,medium,1,['none'],['microwave'],0.147,0.11,3,india,556.4
private,petrol,97.7,never,mixed,electricity,1.5,4.5,omnivore,1267.7,3,large,4,['none'],['stove'],0.67013,0.11,2,india,643.8
private,petrol,65.7,very frequently,mixed,natural gas,1.0,4.0,omnivore,892.9,3,extra large,1,['metal'],"['oven', 'microwave', 'grill']",0.3844,0.36,1,us,1068.0
private,petrol,869.4,rarely,mixed,electricity,8.0,5.5,omnivore,2379.1,1,medium,4,"['paper', 'plastic', 'glass']","['stove', 'microwave']",0.67013,0.11,4,india,703.3
walk/bicycle,none,53.9,often,renewable_heavy,electricity,4.5,1.5,vegetarian,588.5,12,extra large,4,['none'],['none'],0.085,0.36,1,us,1090.4
private,none,55.7,often,mixed,electricity,2.5,2.5,vegetarian,314.0,0,large,7,"['paper', 'plastic']","['stove', 'oven', 'microwave']",0.21741,0.44,5,uk,505.2
private,petrol,23.2,rarely,renewable_heavy,electricity,0.0,2.0,omnivore,4618.7,1,large,3,['paper'],"['stove', 'airfryer']",0.147,0.11,4,india,830.0
private,none,316.3,very frequently,mixed,natural gas,4.5,6.0,omnivore,2340.7,0,extra large,1,"['plastic', 'metal']","['stove', 'microwave']",0.67013,0.11,5,india,980.9
walk/bicycle,none,77.3,rarely,mixed,electricity,4.0,5.5,vegan,2864.1,1,small,2,"['plastic', 'glass']",['none'],0.67013,0.11,1,india,568.1
private,petrol,358.4,often,mixed,electricity,7.0,5.5,omnivore,1136.4,1,small,3,['paper'],"['stove', 'microwave']",0.67013,0.11,3,india,660.0
public,none,173.5,never,mixed,natural gas,0.0,5.0,omnivore,294.6,5,small,3,['metal'],"['stove', 'airfryer']",0.3844,0.36,1,us,578.1
private,lpg,569.8,very frequently,mixed,wood,2.5,6.0,vegetarian,240.6,7,medium,1,"['paper', 'plastic', 'glass']","['stove', 'oven']",0.3844,0.36,3,us,817.1
private,diesel,84.3,rarely,mixed,electricity,5.5,4.0,vegan,472.9,2,large,4,['none'],"['stove', 'microwave', 'grill']",0.21741,0.44,1,uk,679.0
public,none,191.1,never,mixed,electricity,4.0,4.5,vegetarian,472.1,1,small,11,['metal'],['stove'],0.3844,0.36,1,us,508.5
public,none,492.8,rarely,mixed,electricity,6.0,6.0,omnivore,216.3,0,medium,3,['none'],"['stove', 'airfryer']",0.3844,0.36,1,us,560.9
public,none,541.0,never,mixed,electricity,5.0,3.0,pescatarian,438.1,1,medium,5,['none'],"['stove', 'oven']",0.21741,0.44,5,uk,373.9
private,hybrid,481.9,rarely,renewable_heavy,natural gas,4.5,6.5,vegetarian,2161.9,0,medium,3,"['plastic', 'metal', 'glass']","['stove', 'microwave']",0.147,0.11,1,india,588.5
walk/bicycle,none,298.5,often,mixed,electricity,5.5,8.0,omnivore,719.6,1,medium,1,"['paper', 'plastic', 'metal']",['oven'],0.67013,0.11,1,india,563.2
private,diesel,177.1,rarely,renewable_heavy,electricity,1.5,5.5,vegetarian,1348.7,1,small,1,"['paper', 'glass']","['microwave', 'grill', 'airfryer']",0.147,0.11,3,india,364.8
walk/bicycle,none,306.7,rarely,mixed,wood,5.0,9.0,omnivore,419.6,2,small,3,['none'],"['stove', 'microwave']",0.21741,0.44,1,uk,579.8
private,hybrid,55.8,rarely,renewable_heavy,electricity,5.0,4.5,omnivore,253.4,1,small,3,['none'],"['stove', 'microwave']",0.085,0.36,2,us,475.0
private,electric,129.1,very frequently,mixed,electricity,9.5,8.0,vegetarian,1734.4,1,small,2,['none'],['oven'],0.67013,0.11,2,india,890.2
private,petrol,645.1,very frequently,mixed,wood,0.0,3.0,omnivore,296.0,1,medium,3,"['paper', 'plastic', 'metal', 'glass']","['oven', 'microwave']",0.3844,0.36,1,us,921.0
public,none,415.9,never,mixed,electricity,3.5,6.0,omnivore,838.2,1,large,1,['plastic'],"['stove', 'microwave']",0.67013,0.11,1,india,513.4
public,none,60.5,never,mixed,electricity,5.5,6.5,omnivore,139.1,4,medium,2,"['paper', 'plastic']","['stove', 'oven']",0.3844,0.36,5,us,379.4
private,none,248.8,never,mixed,electricity,6.5,7.5,omnivore,233.0,3,large,2,['plastic'],"['stove', 'oven']",0.3844,0.36,1,us,576.1
private,diesel,80.5,rarely,mixed,natural gas,3.5,6.5,omnivore,5000.0,1,small,2,"['paper', 'plastic', 'metal']","['oven', 'microwave']",0.67013,0.11,3,india,936.1
private,petrol,140.3,never,renewable_heavy,natural gas,3.5,9.0,omnivore,1010.0,1,medium,1,['paper'],['stove'],0.147,0.11,1,india,415.9
private,petrol,687.8,rarely,mixed,electricity,3.5,7.0,omnivore,404.9,9,small,1,"['paper', 'plastic']","['stove', 'microwave']",0.3844,0.36,2,us,759.4
public,none,35.2,often,mixed,natural gas,7.5,5.0,omnivore,1924.2,1,medium,9,['none'],"['stove', 'oven', 'microwave']",0.67013,0.11,5,india,815.9
private,diesel,57.4,rarely,renewable_heavy,electricity,4.0,5.5,omnivore,5000.0,3,large,1,['none'],"['stove', 'microwave']",0.147,0.11,2,india,982.3
private,lpg,207.7,rarely,mixed,electricity,2.5,3.5,omnivore,638.6,4,medium,3,['paper'],"['stove', 'microwave']",0.67013,0.11,7,india,523.3
private,hybrid,276.6,never,mixed,wood,2.5,4.5,vegetarian,245.2,2,medium,4,['none'],"['stove', 'oven', 'microwave', 'airfryer']",0.21741,0.44,1,uk,432.5
private,petrol,138.2,never,renewable_heavy,electricity,2.5,4.5,vegetarian,426.8,1,medium,5,['none'],"['stove', 'airfryer']",0.048,0.44,1,uk,520.8
walk/bicycle,none,514.3,never,renewable_heavy,electricity,6.0,5.5,pescatarian,414.5,0,medium,8,"['paper', 'plastic', 'metal']","['stove', 'oven']",0.085,0.36,6,us,327.2
private,diesel,147.5,never,renewable_heavy,electricity,7.0,4.5,vegetarian,1570.9,3,large,1,"['plastic', 'metal']","['stove', 'oven', 'microwave']",0.147,0.11,2,india,396.2
walk/bicycle,none,231.4,often,renewable_heavy,natural gas,0.0,1.5,omnivore,490.9,2,large,2,['none'],"['oven', 'microwave', 'grill']",0.048,0.44,1,uk,795.5
public,none,191.0,very frequently,mixed,natural gas,3.0,8.0,vegetarian,113.0,1,small,1,"['plastic', 'glass']","['stove', 'oven', 'microwave']",0.21741,0.44,1,uk,675.9
private,petrol,144.1,often,mixed,natural gas,5.5,0.0,pescatarian,307.0,2,large,3,['none'],"['stove', 'airfryer']",0.21741,0.44,3,uk,585.7
private,petrol,355.0,very frequently,mixed,natural gas,5.0,3.0,omnivore,321.4,2,small,1,['plastic'],"['stove', 'microwave']",0.3844,0.36,3,us,823.9
public,none,87.6,never,renewable_heavy,natural gas,3.5,8.5,omnivore,3204.6,1,medium,3,['none'],"['stove', 'airfryer']",0.147,0.11,3,india,639.4
public,none,580.4,rarely,renewable_heavy,wood,6.0,3.0,vegetarian,612.9,0,medium,1,['paper'],"['stove', 'oven']",0.147,0.11,5,india,265.2
private,hybrid,432.1,never,mixed,natural gas,7.5,7.5,omnivore,317.9,1,medium,1,['none'],"['oven', 'microwave', 'airfryer']",0.21741,0.44,1,uk,503.7
walk/bicycle,none,438.2,never,mixed,natural gas,2.5,5.5,vegetarian,397.6,5,large,1,"['plastic', 'metal']","['stove', 'oven', 'airfryer']",0.3844,0.36,2,us,406.1
private,petrol,1413.3,never,mixed,wood,0.5,6.5,vegetarian,1542.7,3,medium,1,['paper'],"['stove', 'oven', 'airfryer']",0.67013,0.11,9,india,483.2
private,petrol,264.9,rarely,mixed,electricity,4.0,4.0,vegetarian,1409.0,2,medium,3,['none'],['none'],0.67013,0.11,1,india,653.0
private,petrol,202.7,rarely,renewable_heavy,electricity,1.5,4.5,omnivore,402.8,2,medium,2,['none'],['grill'],0.085,0.36,7,us,544.0
public,none,276.3,often,mixed,natural gas,6.0,6.5,vegetarian,3553.2,1,medium,3,['paper'],"['stove', 'oven']",0.67013,0.11,1,india,959.2
private,petrol,125.2,never,mixed,wood,1.5,5.0,vegan,507.0,1,small,1,['none'],['stove'],0.21741,0.44,1,uk,358.1
private,petrol,167.8,rarely,renewable_heavy,electricity,9.0,4.0,vegetarian,238.6,2,medium,3,['none'],"['stove', 'oven']",0.048,0.44,5,uk,372.6
private,petrol,85.8,rarely,mixed,natural gas,1.5,5.0,omnivore,237.7,1,extra large,2,['plastic'],"['stove', 'microwave', 'airfryer']",0.21741,0.44,1,uk,599.8
private,diesel,616.1,rarely,mixed,natural gas,4.0,4.5,vegetarian,236.9,1,small,5,"['paper', 'plastic', 'glass']",['none'],0.3844,0.36,2,us,439.0
private,none,73.3,rarely,mixed,electricity,4.5,1.5,vegetarian,750.9,1,large,8,['none'],"['stove', 'microwave']",0.3844,0.36,4,us,658.9
public,none,86.8,never,mixed,electricity,2.5,5.0,vegetarian,309.9,1,large,3,"['paper', 'plastic', 'glass']",['stove'],0.3844,0.36,2,us,345.1
private,petrol,149.8,rarely,mixed,electricity,4.0,7.0,omnivore,218.6,1,extra large,4,['plastic'],"['stove', 'oven', 'microwave']",0.3844,0.36,2,us,640.3
walk/bicycle,none,67.2,never,mixed,electricity,4.5,5.0,pescatarian,2017.0,1,medium,2,['none'],"['oven', 'microwave']",0.67013,0.11,1,india,546.9
public,none,100.9,never,mixed,electricity,9.0,4.5,omnivore,498.1,1,large,3,"['paper', 'plastic']",['microwave'],0.3844,0.36,2,us,503.4
public,none,131.7,never,mixed,electricity,5.0,6.0,omnivore,1637.6,5,medium,2,"['paper', 'plastic']","['stove', 'microwave']",0.67013,0.11,2,india,576.8
walk/bicycle,none,371.0,rarely,mixed,natural gas,4.5,2.5,omnivore,453.2,1,medium,3,['plastic'],['stove'],0.3844,0.36,1,us,624.5
private,lpg,49.3,often,mixed,electricity,7.0,0.0,omnivore,1736.3,2,medium,2,['paper'],"['stove', 'oven', 'airfryer']",0.67013,0.11,1,india,793.8
private,diesel,113.4,never,renewable_heavy,electricity,6.0,7.5,vegetarian,2518.6,1,large,3,['none'],"['stove', 'oven', 'microwave']",0.147,0.11,6,india,486.4
private,petrol,237.5,rarely,mixed,natural gas,7.0,6.5,omnivore,2211.0,5,small,3,['none'],['grill'],0.67013,0.11,5,india,657.7
private,petrol,284.4,never,mixed,electricity,2.0,0.0,vegetarian,298.7,7,medium,3,"['plastic', 'metal']","['stove', 'airfryer']",0.3844,0.36,1,us,573.6
private,petrol,1872.0,never,renewable_heavy,wood,1.0,4.5,pescatarian,2719.3,1,extra large,3,"['paper', 'metal']","['stove', 'oven', 'microwave']",0.147,0.11,1,india,929.4
public,none,676.4,rarely,mixed,electricity,8.5,5.0,vegetarian,217.4,0,large,7,['none'],['oven'],0.21741,0.44,1,uk,736.9
public,none,801.9,often,mixed,natural gas,5.5,4.0,omnivore,235.3,0,medium,2,"['paper', 'plastic']","['grill', 'airfryer']",0.3844,0.36,1,us,607.6
private,hybrid,45.5,never,renewable_heavy,electricity,3.0,2.5,omnivore,2088.1,2,small,4,"['paper', 'metal']",['microwave'],0.147,0.11,2,india,533.4
public,none,245.1,never,mixed,wood,1.5,5.0,omnivore,522.8,1,extra large,2,['none'],['microwave'],0.3844,0.36,1,us,710.3
private,electric,319.3,often,mixed,electricity,3.0,3.0,vegetarian,3052.6,5,large,4,"['paper', 'plastic', 'glass']",['stove'],0.67013,0.11,7,india,828.9
private,petrol,60.3,rarely,mixed,wood,8.5,5.0,vegetarian,963.3,2,extra large,4,['none'],"['stove', 'microwave', 'grill']",0.21741,0.44,1,uk,1024.1
private,petrol,146.6,never,mixed,electricity,1.5,1.5,vegetarian,155.1,1,medium,5,['none'],"['stove', 'oven', 'airfryer']",0.3844,0.36,5,us,275.4
private,petrol,376.3,never,mixed,natural gas,8.5,6.5,omnivore,252.2,3,small,4,"['paper', 'metal']",['stove'],0.21741,0.44,2,uk,493.7
private,diesel,396.3,very frequently,mixed,electricity,3.0,9.0,vegetarian,2041.6,0,large,5,['none'],['airfryer'],0.67013,0.11,1,india,1295.3
private,petrol,571.6,very frequently,mixed,electricity,4.0,5.0,omnivore,1077.9,1,large,1,"['plastic', 'metal']","['stove', 'oven']",0.3844,0.36,2,us,1175.1
private,diesel,204.2,rarely,renewable_heavy,electricity,4.0,7.0,omnivore,342.2,2,large,1,"['paper', 'plastic', 'metal']",['oven'],0.085,0.36,1,us,509.3
private,diesel,111.5,never,mixed,natural gas,4.5,4.5,vegetarian,141.2,2,small,5,['paper'],"['stove', 'oven', 'microwave']",0.21741,0.44,3,uk,269.9
public,none,313.2,rarely,mixed,electricity,0.5,9.0,vegetarian,233.0,1,medium,1,['none'],"['stove', 'oven', 'grill']",0.3844,0.36,2,us,359.4
private,diesel,217.7,rarely,mixed,natural gas,10.0,3.5,omnivore,380.7,1,small,3,['paper'],"['oven', 'microwave', 'airfryer']",0.3844,0.36,3,us,508.7
public,none,276.7,never,renewable_heavy,electricity,6.0,1.0,omnivore,2362.8,1,medium,5,"['paper', 'plastic']","['stove', 'microwave', 'grill']",0.147,0.11,2,india,611.6
public,none,34.0,never,mixed,electricity,6.0,1.5,vegetarian,5000.0,2,extra large,2,['paper'],['stove'],0.67013,0.11,1,india,952.6
private,petrol,182.4,never,mixed,natural gas,4.5,2.5,vegetarian,296.5,3,large,2,['none'],"['stove', 'airfryer']",0.3844,0.36,4,us,409.6
private,petrol,266.5,never,mixed,electricity,5.0,5.5,omnivore,570.0,1,medium,1,"['paper', 'metal']","['stove', 'grill']",0.3844,0.36,2,us,467.9
walk/bicycle,none,182.2,rarely,mixed,electricity,5.5,4.0,pescatarian,3372.4,3,medium,3,"['plastic', 'metal']",['none'],0.67013,0.11,1,india,756.8
private,petrol,161.3,rarely,mixed,wood,5.0,10.0,vegetarian,253.5,1,medium,3,"['paper', 'plastic', 'metal']","['stove', 'oven', 'grill']",0.21741,0.44,2,uk,395.2
private,hybrid,161.1,very frequently,renewable_heavy,electricity,2.0,5.5,omnivore,869.6,1,medium,6,"['plastic', 'glass']","['stove', 'grill']",0.048,0.44,4,uk,1133.0
public,none,82.5,very frequently,mixed,natural gas,2.5,5.5,vegetarian,1378.4,3,small,3,"['paper', 'plastic', 'glass']","['stove', 'airfryer']",0.67013,0.11,2,india,806.6
public,none,394.2,often,mixed,electricity,6.5,5.5,vegetarian,239.4,1,medium,6,"['paper', 'plastic']","['stove', 'microwave']",0.3844,0.36,2,us,555.3
public,none,139.2,never,mixed,natural gas,7.5,8.5,omnivore,4425.5,1,medium,5,['none'],"['stove', 'oven', 'microwave', 'airfryer']",0.67013,0.11,1,india,960.6
public,none,18.9,rarely,mixed,natural gas,2.5,0.5,omnivore,412.4,2,small,4,"['paper', 'metal']",['microwave'],0.3844,0.36,1,us,502.1
private,petrol,104.6,never,mixed,natural gas,3.5,6.5,pescatarian,1022.3,0,small,1,['none'],"['stove', 'oven', 'airfryer']",0.67013,0.11,4,india,315.7
public,none,91.1,rarely,renewable_heavy,natural gas,3.5,2.5,omnivore,332.0,1,medium,6,['none'],"['stove', 'microwave']",0.085,0.36,4,us,488.6
private,petrol,135.3,never,mixed,electricity,6.5,6.0,vegetarian,233.0,1,medium,2,"['plastic', 'glass']",['stove'],0.21741,0.44,1,uk,352.1
public,none,101.2,rarely,mixed,electricity,4.0,4.0,omnivore,254.6,1,small,2,['none'],"['stove', 'grill']",0.21741,0.44,4,uk,449.2
private,petrol,164.3,never,mixed,electricity,3.5,5.0,omnivore,2085.7,2,large,2,"['paper', 'metal']",['none'],0.67013,0.11,4,india,519.5
private,diesel,216.6,rarely,mixed,natural gas,2.5,6.5,omnivore,285.5,1,large,3,"['paper', 'plastic', 'metal']","['stove', 'airfryer']",0.21741,0.44,1,uk,716.4
private,diesel,88.9,rarely,mixed,electricity,6.5,7.5,vegan,5000.0,4,small,2,['none'],"['oven', 'microwave', 'airfryer']",0.67013,0.11,3,india,840.5
public,none,190.0,never,mixed,electricity,4.0,6.5,vegan,1551.0,7,large,1,['none'],['none'],0.67013,0.11,3,india,444.5
